,day,id,Date,Value,MA_6,MA_12,MA_24,MA_38,MA_57,MA_137,bias_6,bias_12,bias_24,bias_38,bias_57,bias_137,MACD,PSY,RSI_6,RSI_12,RSI_24,UB_6,LB_6,UB_12,LB_12,UB_24,LB_24,UB_38,LB_38,UB_57,LB_57,UB_137,LB_137,pred,avg5,avg15,da15,xiao15
0,2016-09-11,0,9/11/16,621.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2016-09-12,1,9/12/16,609.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2,2016-09-13,2,9/13/16,610.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
3,2016-09-14,3,9/14/16,608.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
4,2016-09-15,4,9/15/16,610.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
5,2016-09-16,5,9/16/16,609.11,611.7583333333333,,,,,,-0.4329051504542881,,,,,,,,15.473568281938142,,,621.5749023198309,601.9417643468357,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
6,2016-09-17,6,9/17/16,607.04,609.3233333333333,,,,,,-0.3747326269030624,,,,,,,,13.890261987147582,,,612.0507545818143,606.5959120848522,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
7,2016-09-18,7,9/18/16,611.58,609.6416666666667,,,,,,0.3179463345954683,,,,,,,,57.46677091477751,,,612.947768096851,606.3355652364824,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
8,2016-09-19,8,9/19/16,610.19,609.5200000000001,,,,,,0.10992256201600586,,,,,,,,47.17710750193385,,,612.6492938500563,606.3907061499439,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
9,2016-09-20,9,9/20/16,608.66,609.4933333333333,,,,,,-0.1367255862793202,,,,,,,,49.35275080906116,,,612.653831184411,606.3328354822556,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
